Com,HetAdv,HomAdv,Count,HetPrev,HomPrev
1.029,69.736,-100,4294967295,32.385,5.83
1.029,77.484,-100,4294967295,33.332,6.2872
1.029,86.093,-100,4294967295,34.069,6.7096
1.029,95.659,-100,4294967295,34.65,7.0839
1.029,106.29,-100,4294967295,35.012,7.4439
1.029,118.1,-100,4294967295,35.182,7.7542
1.029,131.22,-100,4294967295,35.157,8.046
1.029,145.8,-100,4294967295,34.979,8.2365
1.029,162,-100,4294967295,34.63,8.369
1.029,180,-100,4294967295,34.022,8.4445
1.029,200,-100,4294967295,33.231,8.4115
1.143,9E-5,-100,4294967295,0,0
1.143,0.0001,-100,4294967295,0,0
1.143,0.00011,-100,4294967295,0,0
1.143,0.00012,-100,4294967295,0,0
1.143,0.00013,-100,4294967295,0,0
1.143,0.00015,-100,4294967295,0,0
1.143,0.00016,-100,4294967295,0,0
1.143,0.00018,-100,4294967295,0,0
1.143,0.0002,-100,4294967295,0,0
1.143,0.00023,-100,4294967295,0,0
1.143,0.00025,-100,4294967295,0,0
1.143,0.00028,-100,4294967295,0,0
1.143,0.00031,-100,4294967295,0,0
1.143,0.00034,-100,4294967295,0,0
1.143,0.00038,-100,4294967295,0,0
1.143,0.00042,-100,4294967295,0,0
1.143,0.00047,-100,4294967295,0,0
1.143,0.00052,-100,4294967295,0,0
1.143,0.00058,-100,4294967295,0,0
1.143,0.00065,-100,4294967295,0,0
1.143,0.00072,-100,4294967295,0,0
1.143,0.0008,-100,4294967295,0,0
1.143,0.00089,-100,4294967295,0,0
1.143,0.00098,-100,4294967295,0,0
1.143,0.00109,-100,4294967295,0,0
1.143,0.00122,-100,4294967295,0,0
1.143,0.00135,-100,4294967295,0,0
1.143,0.0015,-100,4294967295,0,0
1.143,0.00167,-100,4294967295,0,0
1.143,0.00185,-100,4294967295,0,0
1.143,0.00206,-100,4294967295,0,0
1.143,0.00229,-100,4294967295,0,0
1.143,0.00254,-100,4294967295,0,0
1.143,0.00282,-100,4294967295,0,0
1.143,0.00314,-100,4294967295,0,0
1.143,0.00349,-100,4294967295,0,0
1.143,0.00387,-100,4294967295,0,0
1.143,0.0043,-100,4294967295,0,0
1.143,0.00478,-100,4294967295,0,0
1.143,0.00531,-100,4294967295,0,0
1.143,0.0059,-100,4294967295,0,0
1.143,0.00656,-100,4294967295,0,0
1.143,0.00729,-100,4294967295,0,0
1.143,0.0081,-100,4294967295,0,0
1.143,0.009,-100,4294967295,0,0
1.143,0.01,-100,4294967295,0,0
1.143,0.01111,-100,4294967295,0,0
1.143,0.01234,-100,4294967295,0,0
1.143,0.01371,-100,4294967295,0,0
1.143,0.01524,-100,4294967295,0,0
1.143,0.01693,-100,4294967295,0,0
1.143,0.01881,-100,4294967295,0,0
1.143,0.0209,-100,4294967295,0,0
1.143,0.02322,-100,4294967295,0,0
1.143,0.0258,-100,4294967295,0,0
1.143,0.02867,-100,4294967295,0,0
1.143,0.03185,-100,4294967295,0,0
1.143,0.03539,-100,4294967295,0,0
1.143,0.03933,-100,4294967295,0,0
1.143,0.04369,-100,4294967295,0,0
1.143,0.04855,-100,4294967295,0,0
1.143,0.05394,-100,4294967295,0,0
1.143,0.05994,-100,4294967295,0,0
1.143,0.0666,-100,4294967295,0,0
1.143,0.074,-100,4294967295,0,0
1.143,0.08222,-100,4294967295,0,0
1.143,0.09136,-100,4294967295,0,0
1.143,0.10151,-100,4294967295,0,0
1.143,0.11278,-100,4294967295,0,0
1.143,0.12532,-100,4294967295,0,0
1.143,0.13924,-100,4294967295,0,0
1.143,0.15471,-100,4294967295,0,0
1.143,0.1719,-100,4294967295,0,0
1.143,0.191,-100,4294967295,0,0
1.143,0.21222,-100,4294967295,0,0
1.143,0.2358,-100,4294967295,0,0
1.143,0.262,-100,4294967295,0,0
1.143,0.29112,-100,4294967295,0,0
1.143,0.32346,-100,4294967295,0,0
1.143,0.3594,-100,4294967295,0,0
1.143,0.39934,-100,4294967295,0,0
1.143,0.44371,-100,4294967295,0,0
1.143,0.49301,-100,4294967295,0,0
1.143,0.54779,-100,4294967295,0,0
1.143,0.60865,-100,4294967295,0,0
1.143,0.67628,-100,4294967295,0,0
1.143,0.75142,-100,4294967295,0,0
1.143,0.83491,-100,4294967295,0,0
1.143,0.92768,-100,4294967295,0,0
1.143,1.0308,-100,4294967295,0,0
1.143,1.1453,-100,4294967295,0,0
1.143,1.2725,-100,4294967295,0,0
1.143,1.4139,-100,4294967295,0,0
1.143,1.571,-100,4294967295,0,0
1.143,1.7456,-100,4294967295,0,0
1.143,1.9396,-100,4294967295,0,0
1.143,2.1551,-100,4294967295,0,0
1.143,2.3945,-100,4294967295,0,0
1.143,2.6606,-100,4294967295,0,0
1.143,2.9562,-100,4294967295,0,0
1.143,3.2846,-100,4294967295,0,0
1.143,3.6496,-100,4294967295,0,0
1.143,4.0551,-100,4294967295,0,0
1.143,4.5057,-100,4294967295,0,0
1.143,5.0063,-100,4294967295,0,0
1.143,5.5626,-100,4294967295,0,0
1.143,6.1806,-100,4294967295,0,0
1.143,6.8674,-100,4294967295,0,0
1.143,7.6304,-100,4294967295,0,0
1.143,8.4782,-100,4294967295,0,0
1.143,9.4203,-100,4294967295,0,0
1.143,10.467,-100,4294967295,0,0
1.143,11.63,-100,4294967295,0,0
1.143,12.922,-100,4294967295,0,0
1.143,14.358,-100,4294967295,0,0
1.143,15.953,-100,4294967295,0.00018,0
1.143,17.726,-100,4294967295,0.0018387,0.00014
1.143,19.695,-100,4294967295,0.0051287,0.0003425
1.143,21.884,-100,4294967295,0.50771,0.047314
1.143,24.315,-100,4294967295,8.3432,0.85162
1.143,27.017,-100,4294967295,13.846,1.5223
1.143,30.019,-100,4294967295,18.023,2.1331
1.143,33.354,-100,4294967295,21.482,2.7226
1.143,37.06,-100,4294967295,24.41,3.3284
1.143,41.178,-100,4294967295,27.008,3.9229
1.143,45.754,-100,4294967295,29.267,4.5388
1.143,50.837,-100,4294967295,31.273,5.1456
1.143,56.486,-100,4294967295,33.026,5.7578
1.143,62.762,-100,4294967295,34.543,6.3772
1.143,69.736,-100,4294967295,35.878,6.9741
1.143,77.484,-100,4294967295,36.996,7.5943
1.143,86.093,-100,4294967295,37.949,8.1222
1.143,95.659,-100,4294967295,38.735,8.6839
1.143,106.29,-100,4294967295,39.349,9.2195
1.143,118.1,-100,4294967295,39.841,9.7144
1.143,131.22,-100,4294967295,40.181,10.168
1.143,145.8,-100,4294967295,40.373,10.597
1.143,162,-100,4294967295,40.425,11.006
1.143,180,-100,4294967295,40.399,11.331
1.143,200,-100,4294967295,40.232,11.65
1.27,9E-5,-100,4294967295,0,0
1.27,0.0001,-100,4294967295,0,0
1.27,0.00011,-100,4294967295,0,0
1.27,0.00012,-100,4294967295,0,0
1.27,0.00013,-100,4294967295,0,0
1.27,0.00015,-100,4294967295,0,0
1.27,0.00016,-100,4294967295,0,0
1.27,0.00018,-100,4294967295,0,0
1.27,0.0002,-100,4294967295,0,0
1.27,0.00023,-100,4294967295,0,0
1.27,0.00025,-100,4294967295,0,0
1.27,0.00028,-100,4294967295,0,0
1.27,0.00031,-100,4294967295,0,0
1.27,0.00034,-100,4294967295,0,0
1.27,0.00038,-100,4294967295,0,0
1.27,0.00042,-100,4294967295,0,0
1.27,0.00047,-100,4294967295,0,0
1.27,0.00052,-100,4294967295,0,0
1.27,0.00058,-100,4294967295,0,0
1.27,0.00065,-100,4294967295,0,0
1.27,0.00072,-100,4294967295,0,0
1.27,0.0008,-100,4294967295,0,0
1.27,0.00089,-100,4294967295,0,0
1.27,0.00098,-100,4294967295,0,0
1.27,0.00109,-100,4294967295,0,0
1.27,0.00122,-100,4294967295,0,0
1.27,0.00135,-100,4294967295,0,0
1.27,0.0015,-100,4294967295,0,0
1.27,0.00167,-100,4294967295,0,0
1.27,0.00185,-100,4294967295,0,0
1.27,0.00206,-100,4294967295,0,0
1.27,0.00229,-100,4294967295,0,0
1.27,0.00254,-100,4294967295,0,0
1.27,0.00282,-100,4294967295,0,0
1.27,0.00314,-100,4294967295,0,0
1.27,0.00349,-100,4294967295,0,0
1.27,0.00387,-100,4294967295,0,0
1.27,0.0043,-100,4294967295,0,0
1.27,0.00478,-100,4294967295,0,0
1.27,0.00531,-100,4294967295,0,0
1.27,0.0059,-100,4294967295,0,0
1.27,0.00656,-100,4294967295,0,0
1.27,0.00729,-100,4294967295,0,0
1.27,0.0081,-100,4294967295,0,0
1.27,0.009,-100,4294967295,0,0
1.27,0.01,-100,4294967295,0,0
1.27,0.01111,-100,4294967295,0,0
1.27,0.01234,-100,4294967295,0,0
1.27,0.01371,-100,4294967295,0,0
1.27,0.01524,-100,4294967295,0,0
1.27,0.01693,-100,4294967295,0,0
1.27,0.01881,-100,4294967295,0,0
1.27,0.0209,-100,4294967295,0,0
1.27,0.02322,-100,4294967295,0,0
1.27,0.0258,-100,4294967295,0,0
1.27,0.02867,-100,4294967295,0,0
1.27,0.03185,-100,4294967295,0,0
1.27,0.03539,-100,4294967295,0,0
1.27,0.03933,-100,4294967295,0,0
1.27,0.04369,-100,4294967295,0,0
1.27,0.04855,-100,4294967295,0,0
1.27,0.05394,-100,4294967295,0,0
1.27,0.05994,-100,4294967295,0,0
1.27,0.0666,-100,4294967295,0,0
1.27,0.074,-100,4294967295,0,0
1.27,0.08222,-100,4294967295,0,0
1.27,0.09136,-100,4294967295,0,0
1.27,0.10151,-100,4294967295,0,0
1.27,0.11278,-100,4294967295,0,0
1.27,0.12532,-100,4294967295,0,0
1.27,0.13924,-100,4294967295,0,0
1.27,0.15471,-100,4294967295,0,0
1.27,0.1719,-100,4294967295,0,0
1.27,0.191,-100,4294967295,0,0
1.27,0.21222,-100,4294967295,0,0
